product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00029,"32SM Rib 35""",32SMRB2/35,knitted_fabric,rib,cotton,unknown,32.0,35.0,,,kg,0.7,
P00030,"POLYดาวกระจาย POLYลายดาวกระจาย 72""",POLYดาวกระจาย/72,traded_textile,unknown,polyester,unknown,,72.0,,,kg,0.7,
P00031,"30CM Single Jersey 24""",30CMSJ/24,knitted_fabric,single_jersey,cotton,unknown,30.0,24.0,,,kg,0.7,
P00032,"20SM Rib 32""",20SMRB/32,knitted_fabric,rib,cotton,unknown,20.0,32.0,,,kg,0.7,
P00033,"POLY Interlock 72""",POLYIT/72,knitted_fabric,interlock,polyester,unknown,,72.0,,,kg,0.7,
P00034,"30SM Single Jersey 22""",30SMSJ/22,knitted_fabric,single_jersey,cotton,unknown,30.0,22.0,,,kg,0.7,
P00035,"34TK Rib 36""",34TKRB/36,knitted_fabric,rib,polyester,unknown,34.0,36.0,,,kg,0.7,
P00036,"308CM Single Jersey 36.5""",308CMSJ/365,knitted_fabric,single_jersey,cotton,unknown,308.0,36.5,,,kg,0.7,
P00037,"POLYJT Juti 47.5""",POLYJT/475,traded_textile,unknown,polyester,unknown,,47.5,,,kg,0.7,
P00038,"30CM Single Jersey 23""",30CMSJ/23,knitted_fabric,single_jersey,cotton,unknown,30.0,23.0,,,kg,0.7,
P00039,"30CVC Rib 32""",30CVCRB/32,knitted_fabric,rib,cvc,unknown,30.0,32.0,,,kg,0.7,
P00040,"30CM Rib 34""",30CMRB2/34,knitted_fabric,rib,cotton,unknown,30.0,34.0,,,kg,0.7,
P00041,"24CM Single Jersey 22""",24CMSJ/22,knitted_fabric,single_jersey,cotton,unknown,24.0,22.0,,,kg,0.7,
P00042,"34TC80 Single Jersey 36""",34TC80/20SJ/36,knitted_fabric,single_jersey,tc,unknown,34.0,36.0,,,kg,0.7,
P00043,"208CM Single Jersey 36""",208CMSJ/36,knitted_fabric,single_jersey,cotton,unknown,208.0,36.0,,,kg,0.7,
P00044,"45TC80 Interlock 38""",45TC80/20IT/38,knitted_fabric,interlock,tc,unknown,45.0,38.0,,,kg,0.7,
P00045,"30TD104 Rib 30""",30TD104RB/30,knitted_fabric,rib,mixed_blend,unknown,30.0,30.0,,,kg,0.7,
P00046,"30CVC Single Jersey 36""",30CVCSJ/36,knitted_fabric,single_jersey,cvc,unknown,30.0,36.0,,,kg,0.7,
P00047,"308CM Rib 32""",308CMRB/32,knitted_fabric,rib,cotton,unknown,308.0,32.0,,,kg,0.7,
P00048,"32SM Rib 32""",32SMRB/32,knitted_fabric,rib,cotton,unknown,32.0,32.0,,,kg,0.7,
P00049,"20CM Single Jersey 22""",20CMSJ/22*,knitted_fabric,single_jersey,cotton,unknown,20.0,22.0,,,kg,0.7,
P00050,"32SM Single Jersey 38.5""",32SMSJ/385,knitted_fabric,single_jersey,cotton,unknown,32.0,38.5,,,kg,0.7,
P00051,"POLY Interlock 38""",POLYIT/38,knitted_fabric,interlock,polyester,unknown,,38.0,,,kg,0.7,
P00052,"28CM Single Jersey 36.5""",28CMSJ/365,knitted_fabric,single_jersey,cotton,unknown,28.0,36.5,,,kg,0.7,
P00053,"30CM Single Jersey 22.5""",30CMSJ/22.5,knitted_fabric,single_jersey,cotton,unknown,30.0,22.5,,,kg,0.7,
P00054,"20TC80 Rib 32""",20TC80/20RB/32,knitted_fabric,rib,tc,unknown,20.0,32.0,,,kg,0.7,
P00055,"POLY Interlock 71""",POLYIT/71,knitted_fabric,interlock,polyester,unknown,,71.0,,,kg,0.7,
P00056,"24CM Single Jersey 24""",24CMSJ/24,knitted_fabric,single_jersey,cotton,unknown,24.0,24.0,,,kg,0.7,
P00057,"30SM Single Jersey 36""",30SMSJ/36,knitted_fabric,single_jersey,cotton,unknown,30.0,36.0,,,kg,0.7,
P00058,"CM Juti 38""",DSP30CMJT/38,traded_textile,unknown,cotton,unknown,,38.0,,,kg,0.7,
P00059,"20TC80 Single Jersey 44.5""",20TC80/20SJ/445,knitted_fabric,single_jersey,tc,unknown,20.0,44.5,,,kg,0.7,
P00060,"32CM Rib 32""",32CMRB,knitted_fabric,rib,cotton,unknown,32.0,32.0,,,kg,0.7,
