clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"32CMSJ/225","32CMSJ/225","Single Jersey","22""","1","726.10","245.00"
"45TC80/20IT/87","45TC80/20IT/87","Interlock","87""","1","418.22","165.00"
"ไมโครเม็ดข้าวโพด","ไมโครเม็ดข้าวโพด","Single Jersey","72","1","19.14","225.00"
"ไมโครหกเหลี่ยม","ไมโครหกเหลี่ยม","Single Jersey","72","1","98.10","245.00"
"20OEWSJ/16","20OEWSJ/16","Single Jersey","16""","1","379.79","188.00"
"*34TKRB/29","*34TKRB/29","RIB","29""-30""","1","27.76","138.00"
"*20OEWK/24*","*20OEWK/24*","Single Jersey","24""","1","451.78","188.00"
"เม็ดข้าวโพด","เม็ดข้าวโพด","Single Jersey","72""","1","126.15","145.00"
"20OEWSJ/21","20OEWSJ/21","Single Jersey","20""","1","604.74","160.00"
"ผ้าวอร์มเทียม/66","ผ้าวอร์มเทียม/66","Interlock","66""","1","53.58","140.00"
"45TCINT/36","45TCINT/36","Interlock","36""","1","168.00","180.00"
"30CVCSJ/38","30CVCSJ/38","Single Jersey","38""","1","42.90","195.00"
"20TD104JT/48","20TD104JT/48","Juti","48""","1","103.37","140.00"
"32SMSJ/345","32SMSJ/345","Single Jersey","34..5""","1","104.21","255.00"
"20CM ปก","20CM ปก","Collar","3.50""X17""","1","12.20","64.00"
"20TD104SJ/22","20TD104SJ/22","Single Jersey","22""","1","342.70","115.00"
"20TD104SJ/20","20TD104SJ/20","Single Jersey","20""","1","342.66","115.00"
"34TKRB/40","34TKRB/40","RIB","40""-41""","1","429.11","137.00"
"20CMSJ/16","20CMSJ/16","Single Jersey","16","1","8.90","275.00"
"34TK/POLY75/72","34TK/POLY75/72","Juti","46-47","1","237.40","160.00"
"20SMSJ/365","20SMSJ/365","Single Jersey","36""-37""","1","205.74","195.00"
"30TD104RB2/24","30TD104RB2/24","RIB","24""-25""","1","663.50","137.00"
"*30SMSJ/20","*30SMSJ/20","Single Jersey","20""","1","120.90","225.00"
"เม็ดข้าวสารตัวหนา","เม็ดข้าวสารตัวหนา","Single Jersey","72""","1","18.00","115.00"
"308CMSJ/345","308CMSJ/345","Single Jersey","34.5""","1","170.60","245.00"
"45TC80/20IT/43","45TC80/20IT/43","Interlock","43""-44""","1","604.92","150.00"
"32CMSJ/38","32CMSJ/38","Single Jersey","38""","1","14.70","165.00"
"28CMSJ/21","28CMSJ/21","Single Jersey","21""","1","428.90","190.00"
"30TD106RB/30","30TD106RB/30","RIB","30""","1","36.41","145.00"
